market_id,question,category,volume,volume_24hr,liquidity,days_until_close,volume_to_liquidity_ratio,volume_rank,volume_24hr_rank
566189,Will Chelsea win the 2025–26 English Premier League?,other,75158846.18,2197.64,1191545.16,71.0,63.0768,1,365
559684,Will Chelsea Clinton win the 2028 Democratic presidential nomination?,politics,42351870.34,137548.87,966641.34,966.0,43.8134,2,79
559687,Will Oprah Winfrey win the 2028 Democratic presidential nomination?,politics,39596678.82,251794.92,2067189.08,966.0,19.1548,3,35
559688,Will Andrew Yang win the 2028 Democratic presidential nomination?,politics,36908745.5,136663.82,1740646.61,966.0,21.204,4,80
561251,Will LeBron James win the 2028 US Presidential Election?,politics,35903721.67,125189.17,1263271.45,966.0,28.4212,5,89
561247,Will Tim Walz win the 2028 US Presidential Election?,politics,35469389.33,101133.67,1678181.49,966.0,21.1356,6,111
559679,Will Bernie Sanders win the 2028 Democratic presidential nomination?,politics,35449126.03,107294.28,1616953.27,966.0,21.9234,7,101
559683,Will George Clooney win the 2028 Democratic presidential nomination?,politics,34256304.81,112304.76,1026843.68,966.0,33.3608,8,99
553874,Will the Memphis Grizzlies win the 2026 NBA Finals?,sports,34236654.03,171073.29,1231067.73,106.0,27.8105,9,60
559666,Will Tim Walz win the 2028 Democratic presidential nomination?,politics,34132223.26,195069.16,1823550.0,966.0,18.7175,10,50
559677,Will Hillary Clinton win the 2028 Democratic presidential nomination?,politics,32823711.07,73714.17,1763098.12,966.0,18.6171,11,139
559685,Will MrBeast win the 2028 Democratic presidential nomination?,politics,31971201.65,99369.41,1776141.76,966.0,18.0004,12,115
559671,Will Zohran Mamdani win the 2028 Democratic presidential nomination?,politics,31445109.16,46841.96,2075805.12,966.0,15.1484,13,186
559681,Will LeBron James win the 2028 Democratic presidential nomination?,politics,30536222.41,68848.09,1577458.87,966.0,19.3579,14,154
561249,Will Greg Abbott win the 2028 US Presidential Election?,politics,30020874.58,52077.56,1306949.94,966.0,22.9702,15,179
559678,Will Liz Cheney win the 2028 Democratic presidential nomination?,politics,29129573.07,71526.12,1548893.26,966.0,18.8067,16,149
559680,Will Phil Murphy win the 2028 Democratic presidential nomination?,politics,28681652.71,52434.65,1546081.86,966.0,18.5512,17,176
561995,Will Mike Pence win the 2028 Republican presidential nomination?,politics,28501974.11,180553.7,1194300.45,966.0,23.865,18,55
559682,Will Hunter Biden win the 2028 Democratic presidential nomination?,politics,28092422.32,117792.59,1381922.57,966.0,20.3285,19,94
559689,Will Beto O’Rourke win the 2028 Democratic presidential nomination?,politics,27626564.43,763709.31,842479.57,966.0,32.792,20,5
553882,Will the Charlotte Hornets win the 2026 NBA Finals?,sports,27262347.7,690168.82,619036.09,106.0,44.04,21,7
561993,Will John Thune win the 2028 Republican presidential nomination?,politics,27251355.36,376093.19,1059574.45,966.0,25.7192,22,21
561248,Will Vivek Ramaswamy win the 2028 US Presidential Election?,politics,26104436.5,566945.7,998572.58,966.0,26.1418,23,11
561242,Will Tulsi Gabbard win the 2028 US Presidential Election?,politics,26098952.0,77737.52,648177.5,966.0,40.2651,24,135
566229,Will Atletico Madrid win the 2025–26 La Liga?,other,26098430.71,74016.05,421012.46,74.0,61.9897,25,138
559690,Will Kim Kardashian win the 2028 Democratic presidential nomination?,politics,25682581.96,243881.31,1913484.11,966.0,13.4219,26,36
561994,Will Kristi Noem win the 2028 Republican presidential nomination?,politics,25544661.74,72690.35,604154.63,966.0,42.2817,27,144
561829,"Russia x Ukraine ceasefire by March 31, 2026?",tech,25430327.57,202106.93,313015.04,14.0,81.2431,28,48
561999,Will Tom Brady win the 2028 Republican presidential nomination?,politics,25340827.11,78839.54,1101119.83,966.0,23.0137,29,134
561254,Will Kim Kardashian win the 2028 US Presidential Election?,politics,25328726.84,46918.23,1188848.53,966.0,21.3053,30,184
561982,Will Sarah Huckabee Sanders win the 2028 Republican presidential nomination?,politics,25308523.19,135813.31,1234294.54,966.0,20.5044,31,81
559670,Will Gina Raimondo win the 2028 Democratic presidential nomination?,politics,24720511.29,107741.28,886914.72,966.0,27.8725,32,100
558960,Will Uzbekistan win the 2026 FIFA World Cup?,sports,23420331.86,63902.72,1542260.4,125.0,15.1857,33,163
559672,Will Roy Cooper win the 2028 Democratic presidential nomination?,politics,23349536.67,37734.97,1540254.87,966.0,15.1595,34,205
561240,Will Stephen Smith win the 2028 US Presidential Election?,politics,23263392.09,310616.74,509915.94,966.0,45.622,35,25
553878,Will the Chicago Bulls win the 2026 NBA Finals?,sports,22640628.66,270135.89,1218691.34,106.0,18.5778,36,30
561986,Will Byron Donalds win the 2028 Republican presidential nomination?,politics,21737981.08,628254.52,586113.41,966.0,37.0884,37,8
559664,Will Raphael Warnock win the 2028 Democratic presidential nomination?,politics,21500179.39,102654.13,601502.07,966.0,35.7441,38,110
559676,Will Barack Obama win the 2028 Democratic presidential nomination?,politics,21277660.48,102823.43,903954.11,966.0,23.5384,39,108
561990,Will Elon Musk win the 2028 Republican presidential nomination?,politics,21134213.13,7128.55,756012.3,966.0,27.9549,40,304
561992,Will Katie Britt win the 2028 Republican presidential nomination?,politics,20944211.02,32124.85,604568.48,966.0,34.6432,41,214
566230,Will Villarreal win the 2025–26 La Liga?,other,20670498.98,169545.86,480259.91,74.0,43.0402,42,63
561250,Will Elon Musk win the 2028 US Presidential Election?,politics,20218108.02,392081.93,1100880.83,966.0,18.3654,43,18
562003,Will Kim Kardashian win the 2028 Republican presidential nomination?,politics,20184385.76,126265.89,785983.32,966.0,25.6804,44,87
561245,Will Nikki Haley win the 2028 US Presidential Election?,politics,19841327.84,580471.02,1183191.22,966.0,16.7693,45,9
559692,Will Jasmine Crockett win the 2028 Democratic presidential nomination?,politics,19398429.97,143765.48,650311.01,966.0,29.8295,46,77
561987,Will Elise Stefanik win the 2028 Republican presidential nomination?,politics,19368995.07,103912.51,990537.0,966.0,19.554,47,106
